CV1	CV2	free energy (kJ/mol)
3.0	0.35	inf
-3.0	0.3665	68.812766990548
-2.94	0.3665	56.56591551134833
-2.88	0.3665	47.91091165934867
-2.82	0.3665	42.79424710618751
-2.76	0.3665	40.138439497278654
-2.7	0.3665	36.00799106804726
-2.64	0.3665	33.21695593752674
-2.58	0.3665	31.91573738258958
-2.52	0.3665	28.518856661846343
-2.46	0.3665	24.6278872367038
-2.4	0.3665	21.49230190147172
-2.34	0.3665	19.486924449184848
-2.28	0.3665	18.344389593403854
-2.22	0.3665	17.984892935688652
-2.16	0.3665	18.408906754051657
-2.1	0.3665	19.621389808595904
-2.04	0.3665	21.354952050235774
-1.98	0.3665	23.168802095927457
-1.92	0.3665	24.98405971970408
-1.86	0.3665	26.66621142209204
-1.8	0.3665	29.150240131646918
-1.74	0.3665	31.351317761751726
-1.6800000000000002	0.3665	32.94841747786515
-1.62	0.3665	35.68117885410545
-1.56	0.3665	35.83812474536245
-1.5	0.3665	35.38795072241617
-1.44	0.3665	37.86463479699862
-1.38	0.3665	43.806498124306096
-1.32	0.3665	55.07832168926036
-1.26	0.3665	55.39623050819391
-1.2000000000000002	0.3665	59.26952688564577
-1.14	0.3665	66.68378407050389
-1.08	0.3665	83.03482006669596
-1.02	0.3665	104.7709295538272
-0.96	0.3665	110.84655032390992
-0.9000000000000001	0.3665	119.16977070616612
-0.84	0.3665	inf
-0.78	0.3665	inf
-0.7200000000000001	0.3665	inf
-0.6600000000000001	0.3665	inf
-0.6000000000000001	0.3665	inf
-0.54	0.3665	inf
-0.4800000000000001	0.3665	inf
-0.4200000000000001	0.3665	inf
-0.3600000000000001	0.3665	inf
-0.3000000000000001	0.3665	inf
-0.24000000000000007	0.3665	inf
-0.1800000000000001	0.3665	inf
-0.12000000000000012	0.3665	inf
-0.0600000000000001	0.3665	inf
-1.1102230246251563e-16	0.3665	inf
0.05999999999999989	0.3665	inf
0.11999999999999988	0.3665	inf
0.17999999999999988	0.3665	inf
0.23999999999999988	0.3665	inf
0.2999999999999999	0.3665	inf
0.3599999999999999	0.3665	inf
0.41999999999999993	0.3665	inf
0.4799999999999999	0.3665	inf
0.5399999999999998	0.3665	inf
0.5999999999999999	0.3665	inf
0.6599999999999999	0.3665	inf
0.72	0.3665	inf
0.7799999999999998	0.3665	inf
0.8399999999999999	0.3665	inf
0.8999999999999998	0.3665	inf
0.9599999999999999	0.3665	inf
1.0199999999999998	0.3665	inf
1.0799999999999998	0.3665	inf
1.14	0.3665	inf
1.1999999999999995	0.3665	inf
1.2599999999999998	0.3665	inf
1.3199999999999998	0.3665	inf
1.38	0.3665	inf
1.44	0.3665	inf
1.4999999999999998	0.3665	inf
1.5599999999999998	0.3665	inf
1.62	0.3665	inf
1.6799999999999995	0.3665	inf
1.7399999999999998	0.3665	inf
1.7999999999999998	0.3665	inf
1.86	0.3665	inf
1.92	0.3665	inf
1.98	0.3665	inf
2.04	0.3665	inf
2.1	0.3665	inf
2.16	0.3665	inf
2.22	0.3665	inf
2.28	0.3665	inf
2.34	0.3665	inf
2.4	0.3665	inf
2.46	0.3665	inf
2.52	0.3665	inf
2.58	0.3665	inf
2.64	0.3665	inf
2.7	0.3665	inf
2.76	0.3665	inf
2.82	0.3665	inf
2.88	0.3665	inf
2.94	0.3665	inf
3.0	0.3665	inf
-3.0	0.383	65.73507738514989
-2.94	0.383	53.48822590595023
-2.88	0.383	44.832968840056935
-2.82	0.383	39.71322097604093
-2.76	0.383	37.02705575767404
-2.7	0.383	32.830689859270066
-2.64	0.383	29.771702504129493
-2.58	0.383	27.71309900909449
-2.52	0.383	24.052849705412317
-2.46	0.383	20.194378218947573
-2.4	0.383	17.211645385620965
-2.34	0.383	15.284909326749178
-2.28	0.383	14.209759956146655
-2.22	0.383	13.895527529096473
-2.16	0.383	14.34318307614122
-2.1	0.383	15.572930668507064
-2.04	0.383	17.370845943413148
-1.98	0.383	19.282711235247397
-1.92	0.383	21.09638641646882
-1.86	0.383	22.8941695349626
-1.8	0.383	25.221451180173545
-1.74	0.383	27.26823936680976
-1.6800000000000002	0.383	29.20023022549385
-1.62	0.383	31.99278761833076
-1.56	0.383	32.51849692164667
-1.5	0.383	32.34240207917025
-1.44	0.383	34.863004764084366
-1.38	0.383	40.81325313750069
-1.32	0.383	52.97446721573323
-1.26	0.383	53.31071354969443
-1.2000000000000002	0.383	57.18291398928128
-1.14	0.383	64.57742452849917
-1.08	0.383	80.21418500445014
-1.02	0.383	102.3480269172108
-0.96	0.383	108.316248619472
-0.9000000000000001	0.383	116.46126000233208
-0.84	0.383	inf
-0.78	0.383	inf
-0.7200000000000001	0.383	inf
-0.6600000000000001	0.383	inf
-0.6000000000000001	0.383	inf
-0.54	0.383	inf
-0.4800000000000001	0.383	inf
-0.4200000000000001	0.383	inf
-0.3600000000000001	0.383	inf
-0.3000000000000001	0.383	inf
-0.24000000000000007	0.383	inf
-0.1800000000000001	0.383	inf
-0.12000000000000012	0.383	inf
-0.0600000000000001	0.383	inf
-1.1102230246251563e-16	0.383	inf
0.05999999999999989	0.383	inf
0.11999999999999988	0.383	inf
0.17999999999999988	0.383	inf
0.23999999999999988	0.383	inf
0.2999999999999999	0.383	inf
0.3599999999999999	0.383	inf
0.41999999999999993	0.383	inf
0.4799999999999999	0.383	inf
0.5399999999999998	0.383	inf
0.5999999999999999	0.383	inf
0.6599999999999999	0.383	inf
0.72	0.383	inf
0.7799999999999998	0.383	inf
0.8399999999999999	0.383	inf
0.8999999999999998	0.383	inf
0.9599999999999999	0.383	inf
1.0199999999999998	0.383	inf
1.0799999999999998	0.383	inf
1.14	0.383	inf
1.1999999999999995	0.383	inf
1.2599999999999998	0.383	inf
